1,0.0000,0.9260,0.0740
2,0.0381,0.8478,0.1142
3,0.0263,0.9475,0.0262
4,0.0930,0.7503,0.1567
5,0.0000,0.8986,0.1014
6,0.0645,0.8765,0.0590
7,0.0000,0.9448,0.0552
8,0.0546,0.8786,0.0668
9,0.0387,0.8473,0.1140
10,0.0000,1.0000,0.0000
11,0.0238,0.8793,0.0968
12,0.1113,0.8522,0.0362
13,0.0000,1.0000,0.0000
14,0.0151,0.8821,0.1027
15,0.0000,0.8715,0.1285
16,0.1760,0.5873,0.2367
17,0.0000,0.8925,0.1075
18,0.1040,0.7798,0.1162
19,0.0139,0.8039,0.1823
20,0.0597,0.8766,0.0638
21,0.0380,0.9203,0.0417
22,0.0437,0.9033,0.0527
23,0.0493,0.9507,0.0000
24,0.0000,0.8512,0.1488
25,0.2780,0.7220,0.0000
26,0.1470,0.7240,0.1290
27,0.0570,0.9430,0.0000
28,0.0289,0.8445,0.1266
29,0.0917,0.7887,0.1197
30,0.0136,0.8903,0.0961
31,0.0512,0.8466,0.1022
32,0.0000,1.0000,0.0000
33,0.0662,0.8442,0.0895
34,0.0564,0.8429,0.1007
35,0.1293,0.8133,0.0575
36,0.0000,0.8510,0.1490
37,0.0230,0.8770,0.1000
38,0.0530,0.8150,0.1317
39,0.0407,0.8885,0.0707
40,0.0440,0.8990,0.0570
41,0.1155,0.8845,0.0000
42,0.0493,0.8935,0.0572
43,0.0294,0.9012,0.0692
44,0.0162,0.7889,0.1949
45,0.1163,0.8074,0.0764
46,0.0198,0.9192,0.0611
47,0.0000,0.8942,0.1058
48,0.0000,0.8500,0.1500
49,0.0178,0.9012,0.0810
50,0.0000,1.0000,0.0000
51,0.0000,1.0000,0.0000
52,0.0285,0.9546,0.0169
53,0.1111,0.7792,0.1098
54,0.0414,0.8530,0.1056
55,0.0600,0.9400,0.0000
56,0.0000,1.0000,0.0000
57,0.0456,0.8864,0.0680
58,0.1209,0.7661,0.1130
59,0.0444,0.9232,0.0324
60,0.0253,0.9123,0.0623
61,0.0509,0.8952,0.0538
62,0.0000,1.0000,0.0000
63,0.1175,0.7695,0.1130
64,0.0000,0.9480,0.0520
65,0.0441,0.8606,0.0953
66,0.1430,0.7415,0.1155
67,0.0492,0.9010,0.0497
68,0.0320,0.8573,0.1107
69,0.0538,0.8783,0.0678
70,0.0403,0.8253,0.1343
71,0.0257,0.9229,0.0514
72,0.0561,0.8819,0.0620
73,0.1300,0.8204,0.0496
74,0.0000,0.8020,0.1980
75,0.0823,0.8373,0.0803
76,0.0648,0.8755,0.0596
77,0.0786,0.8461,0.0752
78,0.0356,0.8762,0.0882
79,0.0000,0.9570,0.0430
80,0.1435,0.8565,0.0000
81,0.0511,0.8416,0.1073
82,0.0000,0.7460,0.2540
83,0.0831,0.8585,0.0583
84,0.0485,0.8460,0.1055
85,0.0815,0.7925,0.1260
86,0.0823,0.9177,0.0000
87,0.0541,0.8886,0.0572
88,0.0604,0.9014,0.0384
89,0.0910,0.9090,0.0000
90,0.0000,0.9261,0.0739
91,0.1947,0.7582,0.0470
92,0.0864,0.9136,0.0000
93,0.0000,0.8170,0.1830
94,0.2631,0.7242,0.0126
95,0.0218,0.8760,0.1021
96,0.0137,0.9001,0.0862
97,0.0535,0.8605,0.0860
98,0.0930,0.9070,0.0000
99,0.0698,0.8374,0.0928
100,0.0172,0.8589,0.1239
101,0.1018,0.8044,0.0938
102,0.0248,0.9752,0.0000
103,0.0000,1.0000,0.0000
104,0.0852,0.8486,0.0662
105,0.1183,0.8243,0.0573
106,0.0000,1.0000,0.0000
107,0.0508,0.8111,0.1382
108,0.0694,0.8502,0.0806
109,0.0214,0.8450,0.1336
110,0.3297,0.6703,0.0000
111,0.0076,0.9294,0.0630
112,0.1623,0.7066,0.1311
113,0.2267,0.7733,0.0000
114,0.0248,0.9752,0.0000
115,0.1145,0.7957,0.0900
116,0.0660,0.7970,0.1372
117,0.0574,0.8303,0.1123
118,0.0210,0.7158,0.2634
119,0.0108,0.8976,0.0917
120,0.0000,1.0000,0.0000
121,0.0334,0.9003,0.0664
122,0.1853,0.8147,0.0000
123,0.0000,1.0000,0.0000
124,0.0760,0.9240,0.0000
